IDENT;SEXO;ESTUDIOS_PADRE;ESTUDIOS_MADRE;EST_B2_2;EST_M1;EST_B11_2;EST_B11_3
1;1;2;3; ;2;2;2
2;1;3;3;2;2;2;2
3;1;3;3;2;2;2;2
4;1;7;7;2;2;2;2
5;1;8;2; ;2;2;2
6;1;3;3;2;2;1;2
7;1;5;3;2;2;1;2
8;2;4;4;2;2;2;2
9;2;4;5;2;2;1;2
10;2;8;6;2;2;1;2
11;2;2;2; ;2;2;2
12;2;4;2;2;2;2;2
13;2;3;4;2;2;1;2
14;2;6;4;2;2;1;2
15;2;4;8; ;2;2;2
16;2;2;4;2;2;2;2
17;2;4;7;2;1;1;2
18;2;9;8;2;1;2;2
19;2;5;4;2;2;2;2
20;2;3;3;2;2;1;2
21;2;4;3; ;2;2;2
22;2;6;4;2;2;2;2
23;2;4;3;2;2;2;2
24;2;4;3;2;2;2;2
25;2;3;4;2;2;1;2
26;2;7;8;2;2;1;2
27;2;4;4;2;2;2;2
28;2;7;4; ;2;2;2
29;2;2;5;2;2;1;2
30;2;9;9;2;2;2;2
31;2;2;2;2;2;2;2
32;2;3;2; ;2;2;2
33;2;9;4;2;2;1;2
34;2;3;3;2;2;2;2
35;2;3;2;1;1;2;2
36;2;4;4;2;2;2;2
37;2;6;6;2;2;1;2
38;2;4;4; ;2;1;2
39;2;3;8; ;2;2;2
40;2;4;6;2;2;2;2
41;2;3;6;2;2;1;2
42;2;4;4;2;2;1;2
43;2;8;4; ;2;2;2
44;2;3;3;2;2;2;2
45;1;2;5; ;2;1;2
46;1;2;6;2;2;2;2
47;1;3;3;2;1;2;2
48;2;3;6; ;2;2;2
49;2;6;3; ;2;1;2
50;2;8;8; ;2;1;2
51;2;4;4;2;2;1;2
52;2;2;2; ;2;2;2
53;2;8;7;2;1;1;2
54;2;4;5;2;2;1;2
55;2;5;3;2;2;2;2
56;2;3;3; ;2;2;2
57;2;6;2;2;2;2;2
58;2;3;4; ;2;2;2
59;2;7;3;2;2;2;2
60;2;3;7;2;2;2;2
61;2;6;3;2;1;1;2
62;2;8;7;2;2;2;2
63;2;4;4; ;2;2;2
64;2;5;5;2;2;1;2
65;2;8;7; ;1;2;2
66;2;4;4;2;2;2;2
67;2;9;9; ;2;2;2
68;2;4;4;2;2;2;2
69;2;3;2; ;2;2;2
70;2;7;6; ;2;1;2
71;2;4;4;2;2;2;2
72;2;8;7; ;2;2;2
73;2;7;7;2;2;2;2
74;2;8;5;2;1;2;2
75;2;4;3;2;2;2;2
76;2;2;3; ;2;2;2
77;2;3;3; ;2;2;2
78;2;3;3; ;2;2;2
79;1;3;3; ;2;2;2
80;1;6;2; ;2;2;2
81;1;5;5; ;2;1;2
82;1;2;2; ;2;2;2
83;1;1;1; ;2;2;2
84;1;8;6;2;1;1;2
85;1;3;3; ;2;2;2
86;1;6;5; ;2;2;2
87;2;8;8; ;2;2;2
88;2;3;3; ;2;2;2
89;2;3;3; ;2;2;2
90;2;5;3; ;1;2;2
91;2;3;3;9;2;2;2
92;2;4;4;2;2;2;2
93;2;8;8; ;2;1;2
94;2;3;1;2;2;2;2
95;2;7;4;2;2;1;2
96;2;4;4;2;2;1;2
97;2;8;8;2;2;2;2
98;2;4;1; ;2;2;2
99;2;3;4; ;2;2;2
100;2;2;3; ;2;1;2
101;2;9;9;2;2;2;2
102;1;4;4;2;2;1;2
103;1;4;3; ;2;1;2
104;2;9;7;2;2;2;2
105;2;5;5; ;2;2;2
106;2;6;3;1;2;1;2
107;2;8;7; ;2;2;2
108;2;4;5; ;2;2;2
109;2;8;4;2;2;1;2
110;2;6;4; ;2;2;2
111;2;6;4;2;2;2;2
112;2;8;5; ;2;2;2
113;2;5;4; ;2;1;2
114;2;9;3;2;2;2;2
115;2;5;8;2;2;1;2
116;1;4;4;2;2;1;2
117;1;5;5; ;2;2;2
118;2;3;3; ;2;2;2
119;2;4;6;2;1;2;2
120;2;3;3; ;2;2;2
121;2;4;6;2;2;2;2
122;2;3;5;2;2;2;2
123;2;3;3;2;1;2;2
124;2;4;9;2;2;2;2
125;2;9;5;2;2;2;2
126;2;9;3;2;2;2;2
127;1;8;5; ;2;2;2
128;1;3;3;2;2;1;2
129;1;3;8;2;1;2;2
130;2;8;3; ;2;2;2
131;2;2;2;2;2;2;2
132;2;3;4; ;2;2;2
133;2;7;5;2;2;1;2
134;2;6;7; ;2;2;2
135;1;3;3;2;2;1;2
136;1;4;4; ;1;2;2
137;2;2;3;2;2;1;2
138;2;4;4;2;2;2;2
139;2;3;3;2;1;2;2
140;2;6;4; ;2;1;2
141;2;5;8;2;1;2;2
142;2;4;6;2;2;2;2
143;2;2;3;2;2;2;2
144;2;5;4;1;2;1;2
145;2;7;8; ;2;2;2
146;2;4;5; ;2;1;2
147;2;8;8;2;2;1;2
148;2;8;8;2;1;1;2
149;2;8;8; ;2;1;2
150;2;4;4;2;2;1;2
151;2;3;4;2;2;1;2
152;2;6;3; ;2;1;2
153;2;7;7; ;2;2;2
154;2;5;4; ;2;2;2
155;2;5;6;2;1;1;2
156;2;3;3;2;2;2;2
157;2;2;4; ;2;2;2
158;1;7;6; ;2;2;2
159;1;8;7;2;2;2;2
160;1;8;7; ;2;1;2
161;2;5;3;2;1;2;2
162;2;8;8; ;2;1;2
163;2;4;8;2;2;1;2
164;2;5;3;2;2;2;2
165;2;8;3;2;2;2;2
166;2;4;8; ;2;1;2
167;2;2;8;2;2;2;2
168;2;9;3;2;2;1;2
169;2;4;3; ;2;2;2
170;2;4;6;2;2;1;2
171;2;4;4; ;2;2;2
172;2;3;3;2;2;2;2
173;2;5;5; ;2;1;2
174;2;3;4;2;2;2;2
175;1;6;2;2;2;2;2
176;1;3;3;2;2;2;2
177;2;7;3;2;2;2;2
178;2;2;2; ;2;1;2
179;2;4;4; ;2;2;2
180;2;8;8;2;2;2;2
181;2;8;8; ;2;2;2
182;2;3;3; ;2;2;2
183;2;2;4; ;2;2;2
184;2;7;4; ;2;2;2
185;2;3;2;2;2;1;2
186;1;8;8; ;2;2;2
187;1;8;7; ;2;1;2
188;1;4;4;2;2;2;2
189;1;4;4;2;2;2;2
190;1;2;5;2;2;1;2
191;1;5;3;2;2;2;2
192;2;7;6;2;1;2;2
193;2;4;4;2;1;1;2
194;2;6;4; ;2;1;2
195;2;4;4; ;2;1;2
196;2;4;4; ;2;1;2
197;2;6;6;2;2;1;2
198;2;6;7;2;2;1;2
199;2;5;3;2;2;2;2
200;2;8;5; ;1;1;2
201;2;4;3; ;2;2;2
202;2;3;8; ;2;2;2
203;2;4;8; ;2;1;2
204;2;4;4; ;2;2;2
205;2;3;8;2;2;1;2
206;2;8;5; ;2;1;2
207;2;8;8;2;1;1;2
208;2;3;3;2;2;2;2
209;2;4;4;2;2;2;2
210;1;9;8;2;1;2;2
211;1;9;3;2;2;1;2
212;1;8;8; ;2;1;2
213;2;3;3; ;2;1;2
214;2;3;3;2;2;2;2
215;2;3;2;2;2;2;2
216;2;4;3; ;2;1;2
217;2;9;9; ;2;1;2
218;2;8;4; ;1;2;2
219;2;3;3; ;2;2;2
220;1;3;3; ;2;2;2
221;1;3;2; ;2;2;2
222;1;9;8; ;2;2;2
223;2;3;3; ;2;1;2
224;2;3;5; ;2;1;2
225;2;3;7; ;2;2;2
226;2;4;2; ;2;2;2
227;2;8;4; ;2;1;2
228;1;5;4; ;2;2;2
229;2;4;5;2;2;1;2
230;2;7;5;2;1;1;2
231;2;3;4;2;2;1;2
232;2;7;7; ;2;1;2
233;2;4;2;9;2;1;2
234;2;7;4; ;2;2;2
235;2;7;8;2;2;1;2
236;2;3;6;2;2;2;2
237;2;8;8; ;2;2;2
238;2;8;4; ;2;1;2
239;2;3;3;2;2;1;2
240;2;6;6;2;2;2;2
241;2;8;8; ;2;1;2
242;2;6;4;2;2;2;2
243;2;4;4;2;2;2;2
244;2;3;3;2;2;2;2
245;2;4;4;2;2;2;2
246;2;9;2;2;2;2;2
247;2;4;3;2;2;2;2
248;2;4;3;2;2;2;2
249;2;2;8; ;2;1;2
250;1;3;5;2;2;2;2
251;1;2;2;2;2;2;2
252;2;4;5;2;2;2;2
253;2;4;4;2;2;1;2
254;2;9;9;2;2;2;2
255;2;5;6; ;2;2;2
256;2;3;3; ;2;2;2
257;2;5;5;2;2;2;2
258;2;8;5;2;2;2;2
259;2;3;3; ;2;1;2
260;2;6;4; ;2;1;2
261;2;3;4; ;2;2;2
262;2;8;6; ;2;2;2
263;2;7;4; ;2;2;2
264;2;3;3;2;2;2;2
265;1;4;5;2;2;2;2
266;1;6;6;2;2;2;2
267;1;9;5;2;2;2;2
268;2;9;9;2;2;2;2
269;2;3;4;2;2;1;2
270;2;3;3;2;2;1;2
271;2;8;7; ;2;1;2
272;2;5;5; ;2;1;2
273;2;4;4; ;2;1;2
274;2;8;9;2;2;2;2
275;2;9;9; ;2;1;2
276;2;5;5; ;2;1;2
277;2;3;3;2;2;2;2
278;2;4;7;2;2;2;2
279;2;8;8; ;2;2;2
280;2;4;4;2;2;1;2
281;2;7;4; ;1;1;2
282;2;3;2;2;2;1;2
283;2;9;4; ;2;2;2
284;2;5;4;2;2;2;2
285;2;5;5;2;2;1;2
286;2;2;3;2;2;1;2
287;1;7;7;2;1;2;2
288;2;4;3;2;2;2;2
289;2;5;6;2;2;2;2
290;2;3;4; ;2;1;2
291;2;6;4;2;2;1;2
292;2;3;3;2;2;2;2
293;2;5;3;2;2;2;2
294;1;5;8; ;2;1;2
295;2;3;3; ;2;2;2
296;2;1;3;2;2;2;2
297;1;8;8; ;2;1;2
298;2;4;4;2;2;2;2
299;2;2;6;2;2;2;2
300;2;2;3;2;2;1;2
301;2;8;8;2;1;2;2
302;2;6;4;2;2;2;2
303;1;8;5; ;2;1;2
304;1;2;2;2;2;1;2
305;1;9;5;1;1;2;2
306;1;4;8; ;2;1;2
307;1;3;3;9;2;1;2
308;1;9;3;2;2;1;2
309;2;9;9;2;2;1;2
